able способный
kiss целовать
kitchen кухня
knee колено
knew знал
knock стучать
know знать
known известный
lady леди
land земля
large большой
last последний
late поздно
laugh смеяться
lay класть
lead вести
lean наклоняться
learn учить
least наименьший
leave покидать
led вел
left левый
leg нога
less меньше
let позволять
letter письмо
lie ложь
life жизнь
lift поднимать
light свет
like нравиться
line линия
lip губа
listen слушать
little маленький
live жить
lock замок
locker шкафчик
long длинный
look смотреть
lose терять
lost потерянный
lot много
loud громкий
love любовь
low низкий
lunch обед
mad сумасшедший
made сделал
make делать
man мужчина
manage управлять
many многие
mark отметка
marry жениться
match матч
matter дело
may можно
maybe может быть
me меня
mean значить
meant значил
meet встречать
memory память
men мужчины
mention упоминать
met встретил
middle середина
might мог бы
mind ум
mine мой
minute минута
mirror зеркало
miss скучать
mom мама
moment момент
money деньги
month месяц
mood настроение
more больше
morning утро
most большинство
mother мать
mouth рот
move двигать
movie фильм
Mr. мистер
Mrs. миссис
much много
mum мама
mumble бормотать
music музыка
must должен
mutter бормотать
my мой
myself себя
name имя
near около
nearly почти
neck шея
need нуждаться
nervous нервный
never никогда
new новый
next следующий
nice приятный
night ночь
no нет
nod кивать
noise шум
none ни один
normal нормальный
nose нос
not не
note заметка
nothing ничего
notice замечать
now сейчас
number число
obviously очевидно
of из
off с
offer предлагать
office офис
often часто
okay хорошо
old старый
on на
once однажды
one один
only только
onto на
open открывать
or или
order порядок
other другой
our наш
out из
outside снаружи
over над
own собственный
pack пакет
pain боль
paint краска
pair пара
pants штаны
paper бумага
parents родители
park парк
part часть
party вечеринка
pass проходить
past прошлое
pause пауза
pay платить
people люди
perfect идеальный
perhaps возможно
person человек
phone телефон
pick выбирать
picture картина
piece кусок
pink розовый
piss моча
place место
plan план
play играть
please пожалуйста
pocket карман
point точка
police полиция
pop хлопать
position позиция
possible возможный
power сила
practically практически
present подарок
press нажимать
pretend притворяться
pretty довольно
probably вероятно
problem проблема
promise обещание
pull тянуть
punch удар
push толкать
put класть
question вопрос
quick быстрый
quickly быстро
quiet тихий
quietly тихо
quite вполне
race гонка
rain дождь
raise поднимать
ran бежал
rang звонил
rather скорее
reach достигать
read читать
ready готовый
real настоящий
realize понимать
really действительно
reason причина
recognize узнавать
red красный
relationship отношения
relax расслабляться
remain оставаться
remember помнить
remind напоминать
repeat повторять
reply отвечать
respond отвечать
rest отдых
return возвращаться
ride кататься
right правый
ring кольцо
road дорога
rock скала
roll катиться
room комната
rose роза
round круглый
rub тереть
run бежать
rush спешить
sad грустный
safe безопасный
said сказал
same такой же
sat сидел
save сохранять
saw видел
say сказать
scare пугать
school школа
scream кричать
search искать
seat сиденье
second второй
see видеть
seem казаться
seen видел
self себя
send отправлять
sense чувство
sent отправил
serious серьезный
seriously серьезно
set набор
settle устраиваться
seven семь
several несколько
shadow тень
shake трясти
share делиться
she она
shift сдвиг
shirt рубашка
shit дерьмо
shock шок
shoe обувь
shook тряс
shop магазин
short короткий
shot выстрел
should должен
shoulder плечо
shouldn't should not
shout кричать
shove толкать
show показывать
shower душ
shrug пожимать плечами
shut закрывать
sick больной
side сторона
sigh вздыхать
sight вид
sign знак
silence тишина
silent молчаливый
simply просто
since с
single одинокий
sir сэр
sister сестра
sit сидеть
situation ситуация
six шесть
skin кожа
sky небо
slam хлопать
sleep спать
slightly слегка
slip скользить
slow медленный
slowly медленно
small маленький
smell запах
smile улыбка
smirk усмешка
smoke дым
snap щелкать
so так
soft мягкий
softly мягко
some некоторый
somehow как то
someone кто то
something что то
sometimes иногда
somewhere где то
son сын
song песня
soon скоро
sorry извините
sort вид
sound звук
space пространство
speak говорить
spend тратить
spent потратил
spoke говорил
spot место
stair ступенька
stand стоять
star звезда
stare пристальный взгляд
start начинать
state состояние
stay оставаться
step шаг
stick палка
still все еще
stomach желудок
stood стоял
stop останавливать
store магазин
story история
straight прямой
strange странный
street улица
strong сильный
struggle бороться
stuck застрявший
student студент
study учиться
stuff вещи
stupid глупый
such такой
suck сосать
sudden внезапный
suddenly вдруг
suggest предлагать
summer лето
sun солнце
suppose предполагать
sure уверенный
surprise сюрприз
surround окружать
sweet сладкий
table стол
take брать
taken взятый
talk разговаривать
tall высокий
teacher учитель
team команда
tear слеза
teeth зубы
tell рассказывать
ten десять
than чем
thank благодарить
that тот
the определенный артикль
their их
them их
themselves себя
then тогда
there там
these эти
they они
thick толстый
thing вещь
think думать
third третий
this этот
those те
though хотя
thought мысль
three три
threw бросил
throat горло
through через
throw бросать
tie галстук
tight тугой
time время
tiny крошечный
tire шина
to к
today сегодня
together вместе
told сказал
tomorrow завтра
tone тон
tongue язык
tonight сегодня вечером
too тоже
took взял
top верх
totally полностью
touch касаться
toward по направлению к
town город
track след
trail тропа
train поезд
tree дерево
trip поездка
trouble проблема
trust доверять
truth правда
try пытаться
turn поворачивать
TV телевизор
twenty двадцать
two два
type тип
uncle дядя
under под
understand понимать
until до
up вверх
upon на
us нас
use использовать
usual обычный
usually обычно
very очень
visit посещать
voice голос
wait ждать
wake просыпаться
walk гулять
wall стена
want хотеть
warm теплый
warn предупреждать
was был
watch смотреть
water вода
wave волна
way путь
we мы
wear носить
week неделя
weird странный
well хорошо
went пошел
were были
wet мокрый
what что
whatever что бы ни
when когда
where где
whether ли
which который
while в то время как
whisper шептать
white белый
who кто
whole целый
why почему
wide широкий
wife жена
will будет
wind ветер
window окно
wipe вытирать
wish желать
with с
within в пределах
without без
woke проснулся
woman женщина
women женщины
wonder интересоваться
wood дерево
word слово
wore носил
work работать
world мир
worry беспокоиться
worse хуже
would бы
wow вау
wrap заворачивать
write писать
wrong неправильный
yeah да
year год
yell кричать
yes да
yet еще
you ты
young молодой
your твой
yourself себя
yourselves себя
